ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,6,728.1162909836065,211.89472336065575,0,6
3,7,1444.602413099684,277.9393852341281,0,7
3,8,1775.0471438403304,290.2154163799037,0,8
3,9,1012.7325077399381,285.3145510835913,0,9
3,10,1092.7760814249364,296.97837150127225,0,10
3,11,1072.2514322087843,321.1005728835137,0,11
3,12,1123.8286432160803,302.9356783919598,0,12
3,13,1395.2722616233254,324.1221434200158,0,13
3,14,1040.4557275541795,326.41052631578947,0,14
3,15,44.8854694195559,321.52629528632644,0,15
3,16,1148.9939091915835,325.37486157253596,0,16
3,17,1104.4251290877796,339.07573149741825,0,17
3,18,369.04257226081114,333.61304055568,0,18
3,19,1186.1708860759493,346.2711781888997,0,19
3,20,1571.794537554314,364.00186219739294,0,20
3,21,1078.5964531306552,371.07310893955844,0,21
3,22,1619.5731158605174,376.8363329583802,0,22
3,23,1125.939058171745,382.7645429362881,0,23
3,24,1484.996875887532,370.4654927577393,0,24
3,25,1656.3821958456974,392.51038575667656,0,25
3,26,795.3196291817816,400.6614268440145,0,26
3,27,1700.4498141263941,404.36127069956063,0,27
3,28,1065.285601888277,406.06018882769473,0,28
3,29,1644.381684081131,437.6078672403196,0,29
3,30,660.8250741211351,443.58746293943244,0,30
3,31,1347.2296960637768,506.39113104135527,0,31
3,32,1309.3021302130212,483.74527452745275,0,32
3,33,1297.2224448897796,527.1803607214429,0,33
3,34,1334.612854251012,552.4276315789474,0,34
3,35,1462.4801444043321,643.5313423039055,0,35
3,36,998.6585616438356,646.6835616438356,0,36
3,37,1310.046570397112,645.1906137184116,0,37
3,38,641.4836653386454,668.6653386454183,0,38
3,39,1880.0002433090024,690.4136253041363,0,39
3,40,1870.5493630573249,746.3268312101911,0,40
3,41,1925.1363636363637,746.4120425029516,0,41
3,42,1831.3961689159773,754.6225511536787,0,42
3,43,1968.986950848195,765.3066550674206,0,43
3,44,1900.0650378527184,791.3871300757054,0,44
3,45,532.308611707018,785.78823168863,0,45
3,46,1060.882303606374,799.8711210511602,0,46
3,47,560.7252326217844,813.0010946907498,0,47
3,48,1100.2184368737476,824.3527054108216,0,48
3,49,143.34774494556765,832.3048211508553,0,49
3,50,1620.760917214635,864.2760074186477,0,50
3,51,1513.4730517115804,876.8707210487983,0,51
3,52,1095.094913896676,887.3652382859432,0,52
3,53,158.3374980718803,904.1004164738547,0,53
3,54,1306.226480836237,908.7247386759582,0,54
3,55,1111.7957397140356,929.864312810038,0,55
3,56,855.8174603174604,903.0752380952381,0,56
3,57,800.7265204799338,922.621431526686,0,57
3,58,1200.1778720626633,930.1207571801566,0,58
3,59,1299.677558569667,937.1109741060419,0,59
3,60,870.5474006116208,951.5802752293578,0,60
3,61,1486.1922639362913,963.5054038680319,0,61
3,62,1293.7651673640166,970.6825313807532,0,62
3,63,1463.477434679335,1018.3273159144893,0,63
3,64,1428.877085650723,1023.93659621802,0,64
3,65,719.672138836773,1100.9620075046905,0,65
3,66,608.5116279069767,1111.4244186046512,0,66
3,67,790.0970782280867,1123.5871819038643,0,67
3,68,619.1314121037464,1142.6524495677234,0,68
3,69,804.6531986531986,1159.9211159211159,0,69
3,70,636.0678376741369,1164.695336159903,0,70
3,71,1925.8907296439902,1173.2315826577371,0,71
3,72,772.7252559726962,1180.4271899886235,0,72
3,73,882.2794979079498,1181.6410041841004,0,73
3,74,757.8932735426009,1215.2686098654708,0,74
3,75,269.0629020729092,1244.5564689063617,0,75
3,76,771.4476504534213,1269.8705688375928,0,76
3,77,960.4995864350703,1277.6786600496278,0,77
3,78,788.9685097034054,1308.0281948004395,0,78
3,79,705.4666440907552,1319.37250253979,0,79
3,80,1147.205437026841,1319.1944253269098,0,80
3,81,343.8296173044925,1324.3188019966722,0,81
3,82,401.45373577436914,1381.8189015338942,0,82
3,83,841.5033238366572,1402.6115859449192,0,83
3,84,320.57726864330635,1455.277628032345,0,84
3,85,195.58775386480752,1459.8933010003032,0,85
3,86,914.7583397982933,1478.6012412723042,0,86
3,87,333.6953361599031,1505.2836664647689,0,87
3,88,687.2027769742551,1533.716517211455,0,88
3,89,519.0093699515347,1532.4924071082391,0,89
3,90,585.9485199485199,1601.457528957529,0,90
3,91,258.33817594834545,1614.2181194511702,0,91
3,92,339.8463667820069,1597.3480968858132,0,92
3,93,327.6589307915458,1634.8232490675507,0,93
3,94,1426.2714067278287,1744.904243119266,0,94
3,95,956.1466965285555,1780.6196341918626,0,95
3,96,1427.37513397642,1812.3841371918543,0,96
3,97,1208.3770565697544,1804.238674780257,0,97
3,98,1220.3670256835128,1848.2104391052196,0,98
3,99,1333.0086308356217,1863.414280109847,0,99
3,100,1290.5799614643545,1871.418111753372,0,100
4,1,1551.7669322709164,23.787516600265604,0,1
4,2,456.63880414887126,41.687004270896885,0,2
4,3,1798.534283513097,157.3050847457627,0,3
4,4,970.3861148197597,216.50974632843793,0,4
4,5,1444.6295546558704,277.76576055523424,0,5
4,6,1012.5188854489164,285.27987616099074,0,6
4,7,1092.8125,296.55375,0,7
4,8,1072.563051702396,321.02206809583856,0,8
4,9,46.43821106316202,320.25068654374263,0,9
4,10,1123.868712273642,302.9044265593561,0,10
4,11,1395.2655699177437,323.99843321582455,0,11
4,12,1148.8155394074902,325.3074343208496,0,12
4,13,1104.6878306878307,339.2257495590829,0,13
4,14,369.14276139410185,333.45643431635386,0,14
4,15,1078.6898550724638,370.88514492753626,0,15
4,16,1619.5725534308212,376.64848143982005,0,16
4,17,1484.9769033361847,370.28200741374394,0,17
4,18,1655.3795978420794,397.7731731240804,0,18
4,19,795.5010068465566,400.5581957309706,0,19
4,20,1700.9996515679443,404.35853658536587,0,20
4,21,660.8049090139652,443.1671603893356,0,21
4,22,1331.3401979138807,488.1837389676384,0,22
4,23,1301.9579439252336,511.2940031152648,0,23
4,24,1334.5772681954138,552.2562313060818,0,24
4,25,1008.9962444520314,552.1799248890406,0,25
4,26,1462.5913100294022,643.2107154524665,0,26
4,27,998.6842643051771,646.4134877384196,0,27
4,28,641.4594489716725,668.5688785409391,0,28
4,29,1885.0980478175038,687.4378153103751,0,29
4,30,1870.8329317269076,745.710843373494,0,30
4,31,1924.1709044093982,742.5043450273575,0,31
4,32,1831.8476108480413,754.4916056823074,0,32
4,33,1906.3947674418605,791.1688953488372,0,33
4,34,532.4003645200486,785.4620291616039,0,34
4,35,561.38819707634,812.4499187872225,0,35
4,36,595.9342105263158,827.4984051036682,0,36
4,37,143.36910669975185,832.0741315136477,0,37
4,38,332.36468267017426,839.0240052614272,0,38
4,39,1509.7843137254902,877.7795698924731,0,39
4,40,343.7450709097198,886.6783120027673,0,40
4,41,158.13658233742046,903.8362564022971,0,41
4,42,1305.7170645446508,908.6074270557029,0,42
4,43,1200.1749918380672,930.0153444335618,0,43
4,44,1299.7895061728395,937.0104938271605,0,44
4,45,1293.493710691824,970.4261006289308,0,45
4,46,1463.4542020774315,1018.3253068932955,0,46
4,47,1428.8443579766538,1023.6203446359089,0,47
4,48,719.5423649906891,1100.8384543761638,0,48
4,49,790.1549693829487,1123.4700894959963,0,49
