ImageNumber,ObjectNumber,Intensity_MeanIntensity_BGS_mt,Intensity_MeanIntensity_BGS_other,Number_Object_Number
1,97,0.005356760777704211,0.0021174576474045992,97
1,98,0.005424916744840091,0.0020262860782400706,98
1,99,0.007091762258418267,0.002303356471065537,99
1,100,0.008212764357057133,0.002210010671300576,100
1,101,0.0064199281992214415,0.0022247033409690193,101
1,102,0.007087714279418982,0.0022579167154046943,102
1,103,0.006418081958142563,0.002186580510858528,103
1,104,0.005723557718787399,0.0021132069289191576,104
1,105,0.006787889010475382,0.002072525248741326,105
1,106,0.007920489200734139,0.0020165774265392556,106
1,107,0.0063334648906848605,0.0022276992552036105,107
1,108,0.03642362622805394,0.00250039991329648,108
1,109,0.0070618010124442075,0.002152944196822241,109
1,110,0.006342867931219197,0.002268378565542096,110
1,111,0.005984868617830562,0.0021172616726422896,111
1,112,0.007201132008935018,0.0023091106461856884,112
1,113,0.027743850512163718,0.0024747476193134146,113
1,114,0.025170403579048393,0.0028002175122203423,114
1,115,0.008047816991523097,0.0021401563209269337,115
1,116,0.006408103940826272,0.002220547383828293,116
1,117,0.0075400588118702165,0.0025026985745674984,117
1,118,0.008098493420877463,0.0021762619227627157,118
1,119,0.01581662826612202,0.0028850720145897433,119
1,120,0.008177143225208487,0.0022508275652850353,120
1,121,0.005835554450246194,0.0022320602432306055,121
1,122,0.010765017503621993,0.004621966935308767,122
1,123,0.008099274882162355,0.0028624528274487616,123
1,124,0.005621144222696462,0.0021864848620738956,124
1,125,0.005376517510950984,0.0022069460029136233,125
1,126,0.0052561084115009425,0.002022015863401267,126
1,127,0.005482848175141801,0.002146846472373113,127
1,128,0.016170591132996966,0.0022891748546491767,128
1,129,0.043429340911097826,0.008536182432149906,129
1,130,0.00883234934705863,0.0023659773936927104,130
1,131,0.0075368941034281945,0.002330573871200002,131
1,132,0.008929011087364817,0.0021362386587515177,132
1,133,0.007044548967381133,0.002228743102167294,133
1,134,0.006187705173343598,0.0022772143012732516,134
1,135,0.008357704967027809,0.0023170576506604005,135
1,136,0.006928261047554541,0.002460882579240898,136
1,137,0.00585534606786061,0.0021483569077407946,137
1,138,0.015617159684904658,0.0023912958981647477,138
1,139,0.020307458866131247,0.002277265688945845,139
1,140,0.005442182488656689,0.0020956308734253063,140
